,Unnamed: 0,route_id,status,id,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle
0,0,RouteScenario_0,Completed,HardRainSunset,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,122.25000182166694,1436.8091177940369,4.000000210275171,100.0,1.0,100.0,vehicle.bmw.isetta
1,1,RouteScenario_1,Completed,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,84.6500012613833,968.7696995735167,89.66100072719145,100.0,1.0,100.0,vehicle.bmw.isetta
2,2,RouteScenario_2,Completed,WetCloudyNight,90.0,0.0,50.0,0.35,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,75.7000011280179,847.1695086956024,135.34971624206293,100.0,1.0,100.0,vehicle.bmw.isetta
3,3,RouteScenario_3,Completed,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,76.00000113248825,884.8919553756714,110.76065795970585,100.0,1.0,100.0,vehicle.bmw.isetta
4,4,RouteScenario_4,Completed,HardRainNoon,90.0,60.0,100.0,1.0,90.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,182.3000027164817,2126.072791337967,109.97205490190287,100.0,1.0,100.0,vehicle.bmw.isetta
5,5,RouteScenario_5,Failed - Agent timed out,WetNight,20.0,0.0,50.0,0.35,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,88.05000131204723,1138.987057685852,77.26589929384768,93.33988182741388,1.0,93.33988182741388,vehicle.bmw.isetta
6,6,RouteScenario_6,Completed,CloudySunset,80.0,0.0,0.0,0.35,270.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,167.0000024884939,1862.621899843216,275.5098342056596,100.0,1.0,100.0,vehicle.bmw.isetta
7,7,RouteScenario_7,Completed,MidRainyNoon,80.0,30.0,50.0,0.4,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,170.40000253915787,2071.7849731445312,135.50261038028492,100.0,1.0,100.0,vehicle.bmw.isetta
8,8,RouteScenario_8,Completed,MidRainyNoon,80.0,30.0,50.0,0.4,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,77.30000115185977,904.346239566803,147.48200195171145,100.0,1.0,100.0,vehicle.bmw.isetta
9,9,RouteScenario_9,Completed,HardRainNight,90.0,60.0,100.0,1.0,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,115.55000172182919,1322.2263822555542,159.83405030843176,100.0,1.0,100.0,vehicle.bmw.isetta
