,Unnamed: 0,route_id,status,id,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle
0,0,RouteScenario_0,Completed,HardRainSunset,80.0,60.0,100.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,124.25000185146929,1996.149287223816,4.000000210275171,100.0,1.0,100.0,vehicle.lincoln.mkz2017
1,1,RouteScenario_1,Completed,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,91.40000136196613,1116.4223392009737,89.66100072719145,100.0,1.0,100.0,vehicle.lincoln.mkz2017
2,2,RouteScenario_2,Completed,WetCloudyNight,90.0,0.0,50.0,0.35,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,75.30000112205744,886.9213418960571,135.34971624206293,100.0,1.0,100.0,vehicle.lincoln.mkz2017
3,3,RouteScenario_3,Completed,CloudyNoon,80.0,0.0,0.0,0.35,45.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,75.20000112056731,907.2449588775636,110.76065795970585,100.0,1.0,100.0,vehicle.lincoln.mkz2017
4,4,RouteScenario_4,Completed,HardRainNoon,90.0,60.0,100.0,1.0,90.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,177.400002643466,2141.0290524959564,109.97205490190287,100.0,1.0,100.0,vehicle.lincoln.mkz2017
5,5,RouteScenario_5,Completed,WetNight,20.0,0.0,50.0,0.35,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,53.85000080242753,716.5749640464783,77.26589929384768,100.0,1.0,100.0,vehicle.lincoln.mkz2017
6,6,RouteScenario_6,Completed,CloudySunset,80.0,0.0,0.0,0.35,270.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,138.0500020571053,1602.6787185668945,275.5098342056596,100.0,1.0,100.0,vehicle.lincoln.mkz2017
7,7,RouteScenario_7,Completed,MidRainyNoon,80.0,30.0,50.0,0.4,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,115.20000171661377,1437.4667217731476,135.50261038028492,100.0,1.0,100.0,vehicle.lincoln.mkz2017
8,8,RouteScenario_8,Completed,MidRainyNoon,80.0,30.0,50.0,0.4,0.0,75.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,152.30000226944685,1865.8538966178892,147.48200195171145,100.0,1.0,100.0,vehicle.lincoln.mkz2017
9,9,RouteScenario_9,Completed,HardRainNight,90.0,60.0,100.0,1.0,225.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,112.6500016786158,1338.213568687439,159.83405030843176,100.0,1.0,100.0,vehicle.lincoln.mkz2017
10,10,RouteScenario_10,Failed,SoftRainNight,90.0,15.0,50.0,0.35,270.0,-80.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1.80000002682209,22.671937942504886,147.97621366078394,0.0,0.7,0.0,vehicle.lincoln.mkz2017
