,Unnamed: 0,route_id,status,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,fog_falloff,wetness,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,ego_vehicle,infraction
0,0,RouteScenario_0,Failed - Agent timed out,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,431.050006423146,1127.93161940575,141.421350842513,64.3551373473609,1.0,64.3551373473609,vehicle.lincoln.mkz2017,False
1,1,RouteScenario_1,Failed,80,60,100,1.0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,114.000001698732,277.384460926056,141.421356574484,40.937913251513,0.6,68.2298554191883,vehicle.lincoln.mkz2017,collisions_vehicle
2,2,RouteScenario_2,Failed,80,60,100,1.0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,114.000001698732,279.640927553177,141.421356574484,40.937913251513,0.6,68.2298554191883,vehicle.lincoln.mkz2017,collisions_vehicle
3,3,RouteScenario_3,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,224.400003343821,568.58861207962,141.421350842513,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
4,4,RouteScenario_4,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,93.4500013925135,229.593456745148,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
5,5,RouteScenario_5,Failed - Agent timed out,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,892.050013292581,2197.99140143394,141.42135623731,63.9179448454656,1.0,63.9179448454656,vehicle.lincoln.mkz2017,False
6,6,RouteScenario_6,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6000013798475,227.478452444077,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
7,7,RouteScenario_7,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,259.950003873557,644.060274362564,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
8,8,RouteScenario_8,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,257.300003834069,636.410859823227,141.42135623731,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
9,9,RouteScenario_9,Completed,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,111.300001658499,283.785498380661,141.421361632106,100.0,1.0,100.0,vehicle.lincoln.mkz2017,False
10,10,RouteScenario_10,Failed - Agent got blocked,80,60,100,1.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,570.850008506328,1541.98657846451,141.42135623731,37.2743971179424,1.0,37.2743971179424,vehicle.lincoln.mkz2017,False
