,route_id,status,town,basename,cloudiness,fog_density,fog_distance,fog_falloff,precipitation,precipitation_deposits,sun_altitude_angle,sun_azimuth_angle,wetness,wind_intensity,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,ego_vehicle,ego_vehicle_color,ego_vehicle_number_of_wheels,ego_vehicle_object_type,ego_vehicle_role_name,ego_vehicle_sticky_control,number_of_drivers,number_of_walkers,percentage_speed_limit,route_length,total_steps,score_composed,score_penalty,score_route,ego_vehicle_driver_id,infraction
0,RouteScenario_0,Completed,Town01,data,20,0,0,0,0,50,15,270,0,0.349999994039536,0,0,0,0,0,0,0,0,0,106.900001592934,375.513843774796,vehicle.bmw.isetta,"(215,20,132)",4,,hero,True,145,101,104,207.019212970771,2135,100,1,100,,False
1,RouteScenario_1,Failed,Town01,data,90,0,0,0,15,50,-80,270,0,0.349999994039536,0,0,0,0,1,0,0,0,0,7.65000011399388,25.7559378147125,vehicle.chevrolet.impala,"(155,244,183)",4,,hero,True,154,144,75,82.7731237397857,150,0.29225350563548,0.7,0.417505008050685,,red_light
2,RouteScenario_2,Completed,Town01,data,80,0,0,0,60,100,15,0,0,1,0,0,0,0,0,0,0,0,0,131.300001956522,427.203954458237,vehicle.mercedes-benz.coupe,"(169,241,51)",4,,hero,True,125,97,107,4.00000021027517,2623,100,1,100,,False
3,RouteScenario_3,Failed - Agent timed out,Town01,data,80,0,0,0,0,0,75,45,0,0.349999994039536,0,0,0,0,0,0,1,0,0,101.050001505762,386.90883898735,vehicle.bmw.isetta,"(0,252,170)",4,,hero,True,111,124,103,85.0112894410797,2018,95.8415467552317,1,95.8415467552317,,route_timeout
4,RouteScenario_4,Failed,Town01,data,90,0,0,0,15,50,75,315,0,0.349999994039536,0,0,1,0,0,0,0,0,0,16.2000002413988,69.3111708164215,vehicle.tesla.cybertruck,,4,,hero,True,183,149,56,222.385490044924,321,13.9864095291945,0.6,23.3106825486576,,collisions_vehicle
5,RouteScenario_5,Failed,Town01,data,90,0,0,0,0,50,-80,225,0,0.349999994039536,0,0,0,0,1,0,0,0,0,42.5000006332994,147.330669164658,vehicle.audi.tt,"(133,243,35)",4,,hero,True,91,123,61,215.671334600397,847,14.1947645535385,0.7,20.2782350764836,,red_light
6,RouteScenario_6,Failed - Agent timed out,Town01,data,20,0,0,0,0,50,-80,225,0,0.349999994039536,0,0,0,0,0,0,1,0,0,69.0500010289252,205.652478456497,vehicle.yamaha.yzf,"(249,171,97)",2,,hero,True,111,60,89,81.9999806667819,1378,95.068912166575,1,95.068912166575,0,route_timeout
7,RouteScenario_7,Failed,Town01,data,80,0,0,0,0,0,75,45,0,0.349999994039536,0,0,1,0,0,0,0,0,0,18.7500002793968,67.3778500556946,vehicle.nissan.patrol,"(37,13,63)",4,,hero,True,161,72,84,89.6610007271915,372,14.8216096739633,0.6,24.7026827899389,,collisions_vehicle
8,RouteScenario_8,Completed,Town01,data,20,0,0,0,0,50,-80,225,0,0.349999994039536,0,0,0,0,0,0,0,0,0,30.7500004582107,103.555439710617,vehicle.mustang.mustang,"(31,11,217)",4,,hero,True,159,64,63,84.2932734945379,612,100,1,100,,False
9,RouteScenario_9,Failed,Town01,data,90,0,0,0,60,100,-80,225,0,1,1,0,0,1,0,0,0,0,0,13.4000001996756,56.8937032222748,vehicle.carlamotors.carlacola,"(86,104,29)",4,,hero,True,180,121,80,161.240312550301,265,8.68086712816671,0.402574886274994,21.5633598222938,,outside_route_lanes
10,RouteScenario_10,Failed - Agent timed out,Town01,data,90,0,0,0,0,50,15,0,0,0.349999994039536,0,0,0,0,0,0,1,0,0,147.050002191216,507.469270467758,vehicle.tesla.cybertruck,,4,,hero,True,99,103,108,178.939133037313,2938,44.2573639301496,1,44.2573639301496,,route_timeout
11,RouteScenario_11,Failed - Agent timed out,Town01,data,90,0,0,0,0,50,75,180,0,0.349999994039536,0,0,0,0,0,0,1,0,0,113.050001684576,417.304783821106,vehicle.nissan.patrol,"(67,158,198)",4,,hero,True,175,96,104,101.612062127783,2258,98.5315498897885,1,98.5315498897885,,route_timeout
