,route_id,status,town,basename,cloudiness,fog_density,fog_distance,fog_falloff,precipitation,precipitation_deposits,sun_altitude_angle,sun_azimuth_angle,wetness,wind_intensity,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,ego_vehicle,number_of_drivers,number_of_walkers,percentage_speed_limit,route_length,total_steps,score_composed,score_penalty,score_route
0,RouteScenario_0,Completed,Town01,data_interfuser_town01_results,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,272.2000040560961,802.6777031421661,vehicle.lincoln.mkz2017,129,127,104,141.421350842513,5441,100.0,1.0,100.0
1,RouteScenario_1,Completed,Town01,data_interfuser_town01_results,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,226.7500033788383,683.1041812896729,vehicle.lincoln.mkz2017,172,144,55,141.4213565744843,4532,100.0,1.0,100.0
2,RouteScenario_2,Failed,Town01,data_interfuser_town01_results,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,1,0,0,0,0,0,0,96.05000143125653,266.7975935935974,vehicle.lincoln.mkz2017,122,132,85,141.4213565744843,1918,42.74586137401082,0.6,71.24310229001804
3,RouteScenario_3,Completed,Town01,data_interfuser_town01_results,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,233.35000347718596,686.2192487716675,vehicle.lincoln.mkz2017,130,140,93,141.421350842513,4664,100.0,1.0,100.0
4,RouteScenario_4,Failed - Agent timed out,Town01,data_interfuser_town01_results,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,187.0500027872622,526.082909822464,vehicle.lincoln.mkz2017,101,85,100,141.4213562373095,3738,98.69614995053875,1.0,98.69614995053875
5,RouteScenario_5,Completed,Town01,data_interfuser_town01_results,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,763.2000113725662,2273.954678297043,vehicle.lincoln.mkz2017,182,63,96,141.4213562373095,15261,100.0,1.0,100.0
6,RouteScenario_6,Failed - Agent timed out,Town01,data_interfuser_town01_results,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,187.0500027872622,552.5567092895508,vehicle.lincoln.mkz2017,125,116,80,141.4213562373095,3738,98.69614995053875,1.0,98.69614995053875
7,RouteScenario_7,Failed,Town01,data_interfuser_town01_results,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,0,0,1,0,0,0,0,254.6500037945807,700.8807699680328,vehicle.lincoln.mkz2017,101,101,52,141.4213562373095,5090,64.26600172692744,0.7,91.80857389561064
8,RouteScenario_8,Failed,Town01,data_interfuser_town01_results,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,1,0,0,0,0,0,0,167.2500024922192,452.3608114719391,vehicle.lincoln.mkz2017,107,55,50,141.4213562373095,3342,44.73763207454936,0.6,74.56272012424894
9,RouteScenario_9,Failed - Agent timed out,Town01,data_interfuser_town01_results,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,255.05000380054116,728.2673487663269,vehicle.lincoln.mkz2017,99,81,105,141.42136163210623,5098,98.33172329804121,1.0,98.33172329804121
