,route_id,status,basename,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,total_steps,score_composed,score_penalty,score_route
0,RouteScenario_0,Completed,results_TCP,0,0,0,0,0,0,0,0,0,95.35000142082572,296.2844111919403,207.01921297077124,1906,100.0,1.0,100.0
1,RouteScenario_1,Failed,results_TCP,0,0,0,0,1,0,0,0,0,38.60000057518482,97.77714133262634,82.7731237397857,771,0.2922535056354798,0.7,0.41750500805068547
2,RouteScenario_2,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,198.05000295117497,667.5883281230927,4.00000021027517,3960,86.28688123841795,1.0,86.28688123841795
3,RouteScenario_3,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,101.05000150576234,350.3436949253082,85.01128944107964,2020,97.50492805313901,1.0,97.50492805313901
4,RouteScenario_4,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,242.05000360682607,812.4028141498566,222.38549004492398,4840,98.98822262393568,1.0,98.98822262393568
5,RouteScenario_5,Completed,results_TCP,0,0,0,0,0,0,0,0,0,137.50000204890966,485.06355571746826,215.67133460039673,2749,100.0,1.0,100.0
6,RouteScenario_6,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,69.05000102892518,250.6177179813385,81.9999806667819,1380,97.53445608328751,1.0,97.53445608328751
7,RouteScenario_7,Completed,results_TCP,0,0,0,0,0,0,0,0,0,107.25000159814954,417.5142502784729,89.66100072719145,2144,100.0,1.0,100.0
8,RouteScenario_8,Completed,results_TCP,0,0,0,0,0,0,0,0,0,26.900000400841236,112.10712099075317,84.29327349453786,537,100.0,1.0,100.0
9,RouteScenario_9,Completed,results_TCP,0,0,0,0,0,0,0,0,0,111.40000165998936,509.2901813983917,161.24031255030107,2227,100.0,1.0,100.0
10,RouteScenario_10,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,147.05000219121575,588.0534613132477,178.9391330373126,2940,98.31287360840915,1.0,98.31287360840915
11,RouteScenario_11,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,113.05000168457627,432.1363112926483,101.61206212778252,2260,98.53154988978852,1.0,98.53154988978852
12,RouteScenario_12,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,122.05000181868672,490.6072518825531,148.57995264526733,2440,97.27330961657368,1.0,97.27330961657368
13,RouteScenario_13,Failed - Agent got blocked,results_TCP,0,0,0,0,0,0,0,0,1,190.05000283196568,725.5216262340546,212.21998513514657,3800,9.889885351241723,1.0,9.889885351241723
14,RouteScenario_14,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,221.05000329390168,920.6775009632111,185.72615922341757,4420,98.89003169245215,1.0,98.89003169245215
15,RouteScenario_15,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,141.0500021018088,566.3874270915985,135.3497162420629,2820,96.70174395066348,1.0,96.70174395066348
16,RouteScenario_16,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,125.05000186339021,558.010092496872,84.74849002285849,2500,3.4022315144247974,1.0,3.4022315144247974
17,RouteScenario_17,Failed,results_TCP,1,0,0,0,0,0,0,0,0,114.55000170692801,447.1399631500244,134.9649352416446,2290,56.54903161581102,0.65,86.99851017817079
18,RouteScenario_18,Completed,results_TCP,0,0,0,0,0,0,0,0,0,36.80000054836273,148.67386150360107,63.51635132231508,735,100.0,1.0,100.0
19,RouteScenario_19,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,242.05000360682607,899.2450852394104,250.78999932384824,4840,98.9918751578556,1.0,98.9918751578556
20,RouteScenario_20,Completed,results_TCP,0,0,0,0,0,0,0,0,0,148.35000221058726,526.1952028274536,251.33524385962855,2966,100.0,1.0,100.0
21,RouteScenario_21,Completed,results_TCP,0,0,0,0,0,0,0,0,0,111.3500016592443,398.7103135585785,240.84659042508258,2226,100.0,1.0,100.0
