,route_id,status,town,basename,cloudiness,fog_density,fog_distance,fog_falloff,precipitation,precipitation_deposits,sun_altitude_angle,sun_azimuth_angle,wetness,wind_intensity,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,ego_vehicle,number_of_drivers,number_of_walkers,percentage_speed_limit,route_length,total_steps,score_composed,score_penalty,score_route
0,RouteScenario_0,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,20.0,0.0,0.0,0.0,0.0,50.0,15.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,141.65000211074948,197.4033138751984,vehicle.lincoln.mkz2017,195,73.0,52,207.01921297077124,2830,100.0,1.0,100.0
1,RouteScenario_1,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,15.0,50.0,-80.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,91.35000136122108,122.8581612110138,vehicle.lincoln.mkz2017,170,58.0,97,82.7731237397857,1824,100.0,1.0,100.0
2,RouteScenario_2,Failed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,60.0,100.0,15.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,46.30000068992376,63.657307624816895,vehicle.lincoln.mkz2017,129,86.0,94,4.00000021027517,923,30.28173099045671,0.6,50.46955165076118
3,RouteScenario_3,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,0.0,0.0,75.0,45.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,76.3000011369586,105.36292004585266,vehicle.lincoln.mkz2017,129,102.0,62,85.01128944107964,1523,100.0,1.0,100.0
4,RouteScenario_4,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,15.0,50.0,75.0,315.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,156.85000233724713,211.8749635219574,vehicle.lincoln.mkz2017,101,100.0,100,222.385490044924,3134,100.0,1.0,100.0
5,RouteScenario_5,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,0.0,50.0,-80.0,225.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,135.95000202581286,183.61980390548703,vehicle.lincoln.mkz2017,112,121.0,102,215.67133460039676,2716,100.0,1.0,100.0
6,RouteScenario_6,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,20.0,0.0,0.0,0.0,0.0,50.0,-80.0,225.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,17.650000263005495,21.20374894142151,vehicle.lincoln.mkz2017,84,72.0,107,81.9999806667819,350,100.0,1.0,100.0
7,RouteScenario_7,Failed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,0.0,0.0,75.0,45.0,0.0,0.3499999940395355,0,0,0,0,1,0,0,0,0,87.85000130906701,123.87226748466492,vehicle.lincoln.mkz2017,181,70.0,59,89.66100072719145,1754,36.29072327887052,0.7,51.84389039838646
8,RouteScenario_8,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,20.0,0.0,0.0,0.0,0.0,50.0,-80.0,225.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,25.25000037625432,31.23771405220032,vehicle.lincoln.mkz2017,92,94.0,51,84.29327349453786,502,100.0,1.0,100.0
9,RouteScenario_9,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,60.0,100.0,-80.0,225.0,0.0,1.0,0,0,0,0,0,0,0,0,0,116.3500017337501,162.12265634536743,vehicle.lincoln.mkz2017,160,102.0,64,161.24031255030107,2324,100.0,1.0,100.0
10,RouteScenario_10,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,0.0,50.0,15.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,79.55000118538737,115.7993311882019,vehicle.lincoln.mkz2017,200,102.0,91,178.9391330373126,1588,100.0,1.0,100.0
11,RouteScenario_11,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,0.0,50.0,75.0,180.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,67.90000101178885,89.74452066421509,vehicle.lincoln.mkz2017,97,89.0,101,101.61206212778252,1355,100.0,1.0,100.0
12,RouteScenario_12,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,60.0,100.0,75.0,90.0,0.0,1.0,0,0,0,0,0,0,0,0,0,65.20000097155571,90.77605605125429,vehicle.lincoln.mkz2017,98,149.0,75,148.57995264526733,1301,100.0,1.0,100.0
13,RouteScenario_13,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,127.60000190138815,176.9327094554901,vehicle.lincoln.mkz2017,110,124.0,79,212.21998513514657,2549,100.0,1.0,100.0
14,RouteScenario_14,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,15.0,45.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,154.10000229626894,213.4566297531128,vehicle.lincoln.mkz2017,97,136.0,94,185.7261592234176,3079,100.0,1.0,100.0
15,RouteScenario_15,Failed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,0.0,50.0,-80.0,225.0,0.0,0.3499999940395355,0,0,1,0,0,0,0,0,0,34.650000516325235,44.42202472686768,vehicle.lincoln.mkz2017,120,60.0,100,135.3497162420629,690,44.09807080815971,0.6,73.49678468026619
16,RouteScenario_16,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,0.0,0.0,-80.0,45.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,63.500000946223736,86.87252998352051,vehicle.lincoln.mkz2017,152,87.0,90,84.74849002285849,1267,100.0,1.0,100.0
17,RouteScenario_17,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,75.0,0.0,0.0,0.4000000059604645,0,0,0,0,0,0,0,0,0,177.7500026486814,264.81566190719604,vehicle.lincoln.mkz2017,198,119.0,55,134.9649352416446,3552,100.0,1.0,100.0
18,RouteScenario_18,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,0.0,50.0,15.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,71.0500010587275,98.86391639709473,vehicle.lincoln.mkz2017,175,73.0,56,63.51635132231508,1418,96.9779659349654,1.0,96.9779659349654
19,RouteScenario_19,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,229.70000342279675,318.1938407421112,vehicle.lincoln.mkz2017,164,124.0,92,250.78999932384824,4591,100.0,1.0,100.0
20,RouteScenario_20,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,0.0,0.0,15.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,146.0500021763146,202.19507884979248,vehicle.lincoln.mkz2017,91,139.0,57,251.33524385962852,2918,100.0,1.0,100.0
21,RouteScenario_21,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,20.0,0.0,0.0,0.0,0.0,50.0,15.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,224.0500033386052,296.9259207248688,vehicle.lincoln.mkz2017,89,102.0,105,240.84659042508255,4478,98.08661034899896,1.0,98.08661034899896
22,RouteScenario_22,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,15.0,50.0,-80.0,270.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,76.25000113621354,101.47440099716188,vehicle.lincoln.mkz2017,139,76.0,87,91.21650580385666,1522,100.0,1.0,100.0
23,RouteScenario_23,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,60.0,100.0,-80.0,225.0,0.0,1.0,0,0,0,0,0,0,0,0,0,37.250000555068254,46.957524061203,vehicle.lincoln.mkz2017,109,86.0,51,167.38486120028512,742,100.0,1.0,100.0
24,RouteScenario_24,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,0.0,50.0,-80.0,225.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,18.50000027567148,24.50921630859375,vehicle.lincoln.mkz2017,113,126.0,104,75.509947236394,367,100.0,1.0,100.0
25,RouteScenario_25,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,15.0,270.0,0.0,0.4000000059604645,0,0,0,0,0,0,1,0,0,118.05000175908208,176.1638219356537,vehicle.lincoln.mkz2017,195,121.0,51,127.5593661832002,2358,93.16433469485308,1.0,93.16433469485308
26,RouteScenario_26,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,60.0,100.0,75.0,90.0,0.0,1.0,0,0,0,0,0,0,0,0,0,46.65000069513917,65.3340060710907,vehicle.lincoln.mkz2017,144,126.0,93,135.98085964910393,930,100.0,1.0,100.0
27,RouteScenario_27,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,166.75000248476863,238.45873546600345,vehicle.lincoln.mkz2017,191,98.0,53,160.59174114741538,3332,100.0,1.0,100.0
28,RouteScenario_28,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,115.400001719594,155.6290636062622,vehicle.lincoln.mkz2017,145,73.0,90,174.25697675114515,2305,100.0,1.0,100.0
29,RouteScenario_29,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,15.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.3499999940395355,0,0,0,0,0,0,0,0,0,34.50000051409006,46.85433745384216,vehicle.lincoln.mkz2017,170,119.0,87,103.99867141155153,687,100.0,1.0,100.0
30,RouteScenario_30,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,80.0,0.0,0.0,0.0,30.0,50.0,75.0,0.0,0.0,0.4000000059604645,0,0,0,0,0,0,0,0,0,149.95000223442912,223.5951898097992,vehicle.lincoln.mkz2017,187,135.0,75,84.2791168394927,2996,100.0,1.0,100.0
31,RouteScenario_31,Completed,Town01,100_250_200_vehicle.lincoln.mkz2017,90.0,0.0,0.0,0.0,60.0,100.0,75.0,90.0,0.0,1.0,0,0,0,0,0,0,0,0,0,120.80000180006029,169.74576473236084,vehicle.lincoln.mkz2017,127,123.0,92,67.53636251445108,2413,100.0,1.0,100.0
32,RouteScenario_32,Failed - Agent timed out,Town01,100_250_200_vehicle.lincoln.mkz2017,20.0,0.0,0.0,0.0,0.0,50.0,75.0,45.0,0.0,0.3499999940395355,0,0,0,0,0,0,1,0,0,138.0500020571053,192.2485020160675,vehicle.lincoln.mkz2017,171,104.0,101,167.99996240809642,2758,92.2210658724869,1.0,92.2210658724869
