,level_0,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,scenario,route_length,ego_vehicle,carla_version,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
66,81,26,RouteScenario_7_26,Completed,route_26_route0_02_09_01_22_34,0,0,0,0,0,0,0,0,0,7,83.11998033178662,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,37.00000055134296,246.780118227005,none
67,61,27,RouteScenario_7_27,Completed,route_27_route0_02_09_01_30_07,0,0,0,0,0,0,0,0,0,7,83.11998033178662,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,25.55000038072467,183.82021474838257,none
68,79,32,RouteScenario_7_32,Completed,route_32_route0_02_09_01_36_03,0,0,0,0,0,0,0,0,0,7,81.98086781925831,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,22.000000327825543,157.28810787200928,none
69,67,33,RouteScenario_7_33,Completed,route_33_route0_02_09_01_40_16,0,0,0,0,0,0,0,0,0,7,81.97915120561767,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,25.50000037997961,203.0431981086731,none
70,60,40,RouteScenario_7_40,Completed,route_40_route0_02_09_01_46_52,0,0,0,0,0,0,0,0,0,7,82.60001775936934,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,22.350000333040956,173.32387566566467,none
71,78,41,RouteScenario_7_41,Completed,route_41_route0_02_09_01_52_24,0,0,0,0,0,0,0,0,0,7,82.6000177588627,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.550000350922343,149.29971551895142,none
72,75,42,RouteScenario_7_42,Completed,route_42_route0_02_09_01_59_43,0,0,0,0,0,0,0,0,0,7,83.51000974305987,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,20.40000030398369,160.92419838905334,none
73,62,43,RouteScenario_7_43,Completed,route_43_route0_02_09_02_04_50,0,0,0,0,0,0,0,0,0,7,83.51000974305987,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,28.550000425428152,223.3520474433899,none
74,80,52,RouteScenario_7_52,Completed,route_52_route0_02_09_02_11_29,0,0,0,0,0,0,0,0,0,7,82.00997924804688,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,25.450000379234552,142.07242035865784,none
75,77,53,RouteScenario_7_53,Failed,route_53_route0_02_09_02_18_20,0,0,1,0,0,0,0,0,0,7,82.00997924804688,vehicle.bmw.isetta,10,44.75813280268401,26.85487968161041,0.6,120,0,28.300000421702865,212.8457305431366,collisions_vehicle
76,69,56,RouteScenario_7_56,Completed,route_56_route0_02_09_02_24_19,0,0,0,0,0,0,0,0,0,7,83.31085709977604,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,22.100000329315662,143.67589616775513,none
77,72,57,RouteScenario_7_57,Completed,route_57_route0_02_09_02_30_37,0,0,0,0,0,0,0,0,0,7,83.30912522726364,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,21.250000316649675,208.908052444458,none
78,71,6,RouteScenario_7_6,Completed,route_6_route0_02_09_03_07_18,0,0,0,0,0,0,0,0,0,7,81.99999331823905,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.650000352412462,161.91109228134155,none
79,66,64,RouteScenario_7_64,Completed,route_64_route0_02_09_02_37_56,0,0,0,0,0,0,0,0,0,7,82.61000234595448,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,26.3500003926456,236.70509934425357,none
80,65,65,RouteScenario_7_65,Completed,route_65_route0_02_09_02_44_25,0,0,0,0,0,0,0,0,0,7,82.60999853125792,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,20.950000312179327,132.85599160194397,none
81,82,68,RouteScenario_7_68,Failed,route_68_route0_02_09_02_48_54,0,0,1,0,0,0,0,0,0,7,82.0000009476335,vehicle.bmw.isetta,10,44.3124741497019,26.58748448982114,0.6,120,0,27.85000041499734,162.5600564479828,collisions_vehicle
82,76,69,RouteScenario_7_69,Completed,route_69_route0_02_09_02_56_52,0,0,0,0,0,0,0,0,0,7,82.00000476233072,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,34.35000051185489,347.8843674659729,none
83,68,7,RouteScenario_7_7,Completed,route_7_route0_02_09_03_13_12,0,0,0,0,0,0,0,0,0,7,81.99999331823905,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,50.30000074952841,430.3998899459839,none
84,102,10,RouteScenario_8_10,Completed,route_10_route0_02_09_03_23_39,0,0,0,0,0,0,0,0,0,8,61.25325971366519,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,21.800000324845318,193.9642527103424,none
85,96,11,RouteScenario_8_11,Completed,route_11_route0_02_09_03_31_41,0,0,0,0,0,0,0,0,0,8,60.41447692826555,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,33.20000049471855,243.5040214061737,none
86,89,12,RouteScenario_8_12,Completed,route_12_route0_02_09_03_38_50,0,0,0,0,0,0,0,0,0,8,61.75131111908178,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,20.500000305473804,214.50426650047305,none
87,85,15,RouteScenario_8_15,Completed,route_15_route0_02_09_03_46_35,0,0,0,0,0,0,0,0,0,8,60.901017691577785,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,25.150000374764204,171.6760356426239,none
88,94,18,RouteScenario_8_18,Completed,route_18_route0_02_09_03_54_58,0,0,0,0,0,0,0,0,0,8,60.69758307301105,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.15000046417117,202.4811263084412,none
89,90,2,RouteScenario_8_2,Completed,route_2_route0_02_09_04_19_43,0,0,0,0,0,0,0,0,0,8,61.06920292504007,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,21.15000031515956,233.95194792747495,none
90,101,20,RouteScenario_8_20,Completed,route_20_route0_02_09_04_01_35,0,0,0,0,0,0,0,0,0,8,60.95337258060778,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,27.85000041499734,167.2760775089264,none
91,87,24,RouteScenario_8_24,Completed,route_24_route0_02_09_04_07_01,0,0,0,0,0,0,0,0,0,8,60.91089740578979,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,34.00000050663948,271.76009225845337,none
92,92,28,RouteScenario_8_28,Completed,route_28_route0_02_09_04_14_28,0,0,0,0,0,0,0,0,0,8,61.59830038671384,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,21.35000031813979,138.9842460155487,none
93,93,30,RouteScenario_8_30,Completed,route_30_route0_02_09_04_26_48,0,0,0,0,0,0,0,0,0,8,61.16392023319401,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,27.450000409036875,157.65623474121094,none
94,95,34,RouteScenario_8_34,Completed,route_34_route0_02_09_04_35_43,0,0,0,0,0,0,0,0,0,8,60.83781726315381,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,25.80000038444996,201.3281421661377,none
95,105,37,RouteScenario_8_37,Completed,route_37_route0_02_09_04_46_19,0,0,0,0,0,0,0,0,0,8,60.90306747539447,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,48.50000072270632,495.2013397216797,none
