,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,scenario,route_length,ego_vehicle,carla_version,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
0,1,RouteScenario_1_1,Completed,route_1_route0_01_19_14_10_22,0,0,0,0.0,0,0,0,0,0,1,83.59873826094632,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,154.10000229626894,986.9132511615753,none
1,5,RouteScenario_1_5,Completed,route_5_route0_01_19_15_51_35,0,0,0,1.49,0,0,0,0,0,1,326.46289454712144,vehicle.bmw.isetta,10,100.0,98.50612343696228,0.9850612343696228,120,0,146.25000217929482,884.0912516117096,none
2,2,RouteScenario_1_2,Failed - Agent got blocked,route_2_route0_01_19_14_34_49,0,0,0,0.0,0,0,0,0,1,1,310.51499937633105,vehicle.bmw.isetta,10,25.262396584635965,25.262396584635965,1.0,120,0,332.5000049546361,2414.7432436943054,none
3,4,RouteScenario_1_4,Completed,route_4_route0_01_19_15_32_59,0,0,0,81.04,0,0,0,0,0,1,334.39002329383925,vehicle.bmw.isetta,10,100.0,18.95792686766824,0.1895792686766824,120,0,87.80000130832195,494.8639557361603,none
4,3,RouteScenario_1_3,Failed,route_3_route0_01_19_15_21_47,1,0,0,0.0,0,0,0,0,0,1,78.99352533935645,vehicle.bmw.isetta,10,25.967598952768263,16.87893931929937,0.65,120,0,6.400000095367432,37.294891595840454,collisions_layout
5,0,RouteScenario_1_0,Completed,route_0_route0_01_19_13_52_34,0,0,0,0.0,0,0,0,0,0,1,316.4820829944565,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,72.70000108331442,428.5382618904114,none
6,1,RouteScenario_3_1,Completed,route_1_route0_01_19_16_37_17,0,0,0,0.0,0,0,0,0,0,3,83.59873826094632,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,85.65000127628446,540.3934063911438,none
7,5,RouteScenario_3_5,Completed,route_5_route0_01_19_19_06_23,0,0,0,2.37,0,0,0,0,0,3,326.46289454712144,vehicle.bmw.isetta,10,100.0,97.62527947581678,0.9762527947581678,120,0,143.85000214353204,864.3257319927216,none
8,2,RouteScenario_3_2,Failed - Agent got blocked,route_2_route0_01_19_16_53_57,0,0,0,0.0,0,0,0,0,1,3,310.51499937633105,vehicle.bmw.isetta,10,24.726642186601605,24.726642186601605,1.0,120,0,313.0500046648085,2006.195277929306,none
9,4,RouteScenario_3_4,Completed,route_4_route0_01_19_17_52_42,0,0,0,80.38,0,0,0,0,0,3,334.39002329383925,vehicle.bmw.isetta,10,100.0,19.624617001815146,0.19624617001815148,120,0,537.5000080093741,3807.3876917362213,none
10,3,RouteScenario_3_3,Failed,route_3_route0_01_19_17_34_18,1,0,0,0.0,0,0,0,0,0,3,78.99352533935645,vehicle.bmw.isetta,10,25.967598952768263,16.87893931929937,0.65,120,0,6.45000009611249,37.87406325340271,collisions_layout
11,0,RouteScenario_3_0,Failed,route_0_route0_01_19_16_23_56,0,0,1,10.52,0,0,0,0,0,3,316.4820829944565,vehicle.bmw.isetta,10,24.17389927142182,12.978065770960134,0.5368627388260319,120,0,30.600000455975533,179.2086992263794,collisions_vehicle
12,38,RouteScenario_4_38,Completed,route_38_route0_01_20_00_03_01,0,0,0,0.0,0,0,0,0,0,4,61.94757622419835,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,76.70000114291906,485.3432469367981,none
13,40,RouteScenario_4_40,Failed - Agent got blocked,route_40_route0_01_20_00_25_28,0,0,0,34.26,0,0,0,0,1,4,55.71251834771494,vehicle.bmw.isetta,10,66.44626111287344,43.67984739412835,0.6573710343149123,120,0,206.8500030823052,1453.188071489334,none
14,44,RouteScenario_4_44,Completed,route_44_route0_01_20_01_31_08,0,0,0,0.0,0,0,0,0,0,4,55.41121556217197,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,64.75000096485019,373.8237519264221,none
15,29,RouteScenario_4_29,Completed,route_29_route0_01_19_22_37_57,0,0,0,0.0,0,0,0,0,0,4,61.58523811688995,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,46.30000068992376,332.9041676521301,none
16,27,RouteScenario_4_27,Completed,route_27_route0_01_19_22_21_48,0,0,0,0.0,0,0,0,0,0,4,60.85623744415566,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.800000473856926,183.74498462677002,none
17,47,RouteScenario_4_47,Failed,route_47_route0_01_20_02_05_49,0,0,1,0.0,0,0,0,0,0,4,60.57136272504224,vehicle.bmw.isetta,10,73.73381821602848,44.24029092961709,0.6,120,0,27.500000409781933,170.95512056350708,collisions_vehicle
18,43,RouteScenario_4_43,Completed,route_43_route0_01_20_01_18_45,0,0,0,0.0,0,0,0,0,0,4,61.68555879782448,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,47.40000070631504,287.4608554840088,none
19,1,RouteScenario_4_1,Failed,route_1_route0_01_19_19_43_06,1,0,0,0.0,0,0,0,0,0,4,55.416160433360744,vehicle.bmw.isetta,10,65.30895732158827,42.45082225903238,0.65,120,0,21.600000321865082,150.11768317222595,collisions_layout
20,15,RouteScenario_4_15,Failed,route_15_route0_01_19_20_30_42,1,0,0,0.0,0,0,0,0,0,4,55.295861513545525,vehicle.bmw.isetta,10,50.482688079142086,32.81374725144236,0.65,120,0,49.65000073984265,335.8264398574829,collisions_layout
21,36,RouteScenario_4_36,Completed,route_36_route0_01_19_23_40_19,0,0,0,0.0,0,0,0,0,0,4,61.00178018503786,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,35.950000535696745,211.9120523929596,none
22,22,RouteScenario_4_22,Failed,route_22_route0_01_19_21_37_40,0,0,0,0.0,1,0,0,0,0,4,60.83781726315381,vehicle.bmw.isetta,10,37.51669361504631,26.261685530532414,0.7,120,0,55.250000823289156,353.49196553230286,red_light
23,35,RouteScenario_4_35,Failed,route_35_route0_01_19_23_33_46,0,0,1,0.0,0,0,0,0,0,4,60.92792055053716,vehicle.bmw.isetta,10,72.80827341821295,43.68496405092777,0.6,120,0,27.250000406056643,155.90380430221558,collisions_vehicle
24,24,RouteScenario_4_24,Completed,route_24_route0_01_19_21_51_35,0,0,0,0.0,0,0,0,0,0,4,55.24653262480497,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,26.750000398606062,147.09105777740479,none
25,5,RouteScenario_4_5,Failed,route_5_route0_01_20_02_14_51,1,0,0,0.0,0,0,0,0,0,4,55.59823106089415,vehicle.bmw.isetta,10,65.40668009744192,42.51434206333725,0.65,120,0,30.4000004529953,185.7487235069275,collisions_layout
26,25,RouteScenario_4_25,Completed,route_25_route0_01_19_22_00_44,0,0,0,0.0,0,0,0,0,0,4,60.903067475394465,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,47.000000700354576,327.7785997390747,none
27,12,RouteScenario_4_12,Completed,route_12_route0_01_19_20_02_50,0,0,0,0.0,0,0,0,0,0,4,60.69758307301105,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,45.450000677257776,274.8472857475281,none
28,19,RouteScenario_4_19,Completed,route_19_route0_01_19_21_08_55,0,0,0,0.0,0,0,0,0,0,4,55.94493792555948,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,27.200000405311584,152.9315402507782,none
29,2,RouteScenario_4_2,Completed,route_2_route0_01_19_21_15_48,0,0,0,0.0,0,0,0,0,0,4,61.09374739316211,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.9500004760921,240.78927373886108,none
30,33,RouteScenario_4_33,Completed,route_33_route0_01_19_23_20_38,0,0,0,0.0,0,0,0,0,0,4,60.92802203945554,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,46.8500006981194,263.21742820739746,none
31,7,RouteScenario_4_7,Completed,route_7_route0_01_20_02_32_29,0,0,0,0.0,0,0,0,0,0,4,60.41447692826555,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,34.650000516325235,204.62059426307678,none
32,45,RouteScenario_4_45,Completed,route_45_route0_01_20_01_43_37,0,0,0,0.0,0,0,0,0,0,4,61.067938290835365,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,70.25000104680657,542.2244720458984,none
33,28,RouteScenario_4_28,Completed,route_28_route0_01_19_22_28_26,0,0,0,0.0,0,0,0,0,0,4,61.26539929186665,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.600000470876694,184.60700011253357,none
34,46,RouteScenario_4_46,Completed,route_46_route0_01_20_01_58_28,0,0,0,0.0,0,0,0,0,0,4,54.914477604823574,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.45000046864152,197.7587432861328,none
35,30,RouteScenario_4_30,Completed,route_30_route0_01_19_23_02_11,0,0,0,0.0,0,0,0,0,0,4,55.9272196240984,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,28.250000420957804,161.33215808868408,none
