,level_0,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,scenario,route_length,ego_vehicle,carla_version,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
66,81,26,RouteScenario_7_26,Completed,route_26_route0_01_20_04_08_29,0,0,0,0.0,0,0,0,0,0,7,83.11998033178662,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,35.10000052303076,199.81642508506772,none
67,61,27,RouteScenario_7_27,Completed,route_27_route0_01_20_04_15_10,0,0,0,0.0,0,0,0,0,0,7,83.11998033178662,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.25000036135316,147.17435789108276,none
68,79,32,RouteScenario_7_32,Completed,route_32_route0_01_20_04_21_13,0,0,0,0.0,0,0,0,0,0,7,81.98086781925831,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,25.00000037252903,174.79849767684937,none
69,67,33,RouteScenario_7_33,Completed,route_33_route0_01_20_04_28_27,0,0,0,0.0,0,0,0,0,0,7,81.97915120561767,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,40.10000059753656,231.95189809799197,none
70,60,40,RouteScenario_7_40,Completed,route_40_route0_01_20_04_35_55,0,0,0,0.0,0,0,0,0,0,7,82.60001775936934,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.45000034943223,160.33185005187988,none
71,78,41,RouteScenario_7_41,Completed,route_41_route0_01_20_04_41_25,0,0,0,0.0,0,0,0,0,0,7,82.6000177588627,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.45000034943223,124.11647963523863,none
72,75,42,RouteScenario_7_42,Completed,route_42_route0_01_20_04_47_59,0,0,0,0.0,0,0,0,0,0,7,83.51000974305987,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.350000362843275,154.9573414325714,none
73,62,43,RouteScenario_7_43,Completed,route_43_route0_01_20_04_56_25,0,0,0,0.0,0,0,0,0,0,7,83.51000974305987,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.90000047534704,196.5954794883728,none
74,80,52,RouteScenario_7_52,Completed,route_52_route0_01_20_05_03_03,0,0,0,0.0,0,0,0,0,0,7,82.00997924804688,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,27.150000404566526,148.52149367332458,none
75,77,53,RouteScenario_7_53,Completed,route_53_route0_01_20_05_09_05,0,0,0,0.0,0,0,0,0,0,7,82.00997924804688,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,122.75000182911754,925.2924966812134,none
76,69,56,RouteScenario_7_56,Completed,route_56_route0_01_20_05_27_35,0,0,0,0.0,0,0,0,0,0,7,83.31085709977604,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.150000359863043,139.678635597229,none
77,72,57,RouteScenario_7_57,Completed,route_57_route0_01_20_05_34_04,0,0,0,0.0,0,0,0,0,0,7,83.30912522726364,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,30.70000045746565,196.24640130996704,none
78,71,6,RouteScenario_7_6,Completed,route_6_route0_01_20_05_41_31,0,0,0,0.0,0,0,0,0,0,7,81.99999331823905,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,32.00000047683716,205.5121805667877,none
79,66,64,RouteScenario_7_64,Failed,route_64_route0_01_20_05_51_43,1,0,0,3.05,0,0,0,0,0,7,82.61000234595448,vehicle.bmw.isetta,10,40.25174744754501,25.364698039234572,0.6301514753437516,120,0,15.150000225752592,101.7284610271454,collisions_layout
80,65,65,RouteScenario_7_65,Completed,route_65_route0_01_20_05_56_46,0,0,0,0.0,0,0,0,0,0,7,82.60999853125792,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,61.25000091269612,369.5611727237701,none
81,82,68,RouteScenario_7_68,Completed,route_68_route0_01_20_06_09_35,0,0,0,0.0,0,0,0,0,0,7,82.0000009476335,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,106.75000159069896,645.7653052806854,none
82,76,69,RouteScenario_7_69,Completed,route_69_route0_01_20_06_24_09,0,0,0,0.0,0,0,0,0,0,7,82.00000476233072,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,24.650000367313623,186.64363384246823,none
83,68,7,RouteScenario_7_7,Completed,route_7_route0_01_20_06_33_37,0,0,0,0.0,0,0,0,0,0,7,81.99999331823905,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,54.80000081658363,332.6591193675995,none
84,102,10,RouteScenario_8_10,Completed,route_10_route0_01_20_06_43_12,0,0,0,0.0,0,0,0,0,0,8,61.25325971366519,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,27.000000402331352,177.77397418022156,none
85,96,11,RouteScenario_8_11,Completed,route_11_route0_01_20_06_51_03,0,0,0,0.0,0,0,0,0,0,8,60.41447692826555,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,32.5500004850328,201.19186639785767,none
86,89,12,RouteScenario_8_12,Completed,route_12_route0_01_20_06_57_48,0,0,0,0.0,0,0,0,0,0,8,61.75131111908178,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.650000352412462,163.18358397483826,none
87,85,15,RouteScenario_8_15,Failed - Agent timed out,route_15_route0_01_20_07_04_05,0,0,0,48.46,0,0,1,0,0,8,60.901017691577785,vehicle.bmw.isetta,10,75.2800349463301,38.79671042684709,0.5153652021350241,120,0,328.050004888326,2088.9874861240387,none
88,94,18,RouteScenario_8_18,Completed,route_18_route0_01_20_07_42_19,0,0,0,0.0,0,0,0,0,0,8,60.69758307301105,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.500000350177288,161.51444792747498,none
89,90,2,RouteScenario_8_2,Completed,route_2_route0_01_20_07_52_38,0,0,0,0.0,0,0,0,0,0,8,61.06920292504007,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,64.2500009573996,371.88785433769226,none
90,101,20,RouteScenario_8_20,Completed,route_20_route0_01_20_08_02_57,0,0,0,0.0,0,0,0,0,0,8,60.95337258060778,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.90000047534704,206.5675373077393,none
91,87,24,RouteScenario_8_24,Failed,route_24_route0_01_20_08_11_17,1,0,0,0.0,0,0,0,0,0,8,60.91089740578979,vehicle.bmw.isetta,10,43.91024759555531,28.541660937110954,0.65,120,0,22.30000033229589,140.02042198181152,collisions_layout
92,92,28,RouteScenario_8_28,Completed,route_28_route0_01_20_08_21_53,0,0,0,0.0,0,0,0,0,0,8,61.59830038671384,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,61.55000091716647,412.21114206314087,none
93,93,30,RouteScenario_8_30,Completed,route_30_route0_01_20_08_32_04,0,0,0,0.0,0,0,0,0,0,8,61.16392023319401,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,29.10000043362379,173.30579829216003,none
94,95,34,RouteScenario_8_34,Completed,route_34_route0_01_20_08_38_52,0,0,0,0.0,0,0,0,0,0,8,60.83781726315381,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,25.850000385195017,195.19437289237976,none
95,105,37,RouteScenario_8_37,Completed,route_37_route0_01_20_08_48_30,0,0,0,0.0,0,0,0,0,0,8,60.90306747539447,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,52.20000077784061,372.74659299850464,none
96,99,39,RouteScenario_8_39,Completed,route_39_route0_01_20_08_58_16,0,0,0,23.66,0,0,0,0,0,8,60.85623744415566,vehicle.bmw.isetta,10,100.0,76.34480004056984,0.7634480004056984,120,0,26.80000039935112,147.86404514312744,none
97,97,4,RouteScenario_8_4,Failed,route_4_route0_01_20_09_05_06,1,0,0,0.0,0,0,0,0,0,8,61.09374739316211,vehicle.bmw.isetta,10,39.814811999574914,25.879627799723696,0.65,120,0,23.000000342726707,181.33330965042117,collisions_layout
98,84,44,RouteScenario_8_44,Completed,route_44_route0_01_20_09_12_22,0,0,0,16.94,0,0,0,0,0,8,61.26539929186665,vehicle.bmw.isetta,10,100.0,83.06260584664335,0.8306260584664336,120,0,32.95000049099326,196.5288608074188,none
99,91,45,RouteScenario_8_45,Completed,route_45_route0_01_20_09_19_00,0,0,0,0.0,0,0,0,0,0,8,61.58523811688995,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.95000035688281,163.70869398117063,none
100,88,49,RouteScenario_8_49,Completed,route_49_route0_01_20_09_25_22,0,0,0,0.0,0,0,0,0,0,8,60.92802203945554,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,26.90000040084124,161.9141218662262,none
101,106,51,RouteScenario_8_51,Failed,route_51_route0_01_20_09_31_44,0,0,1,26.8,0,0,0,0,0,8,60.92792055053716,vehicle.bmw.isetta,10,72.80827341821295,31.97590614219376,0.4391795690377545,120,0,26.200000390410423,150.64559364318848,collisions_vehicle
102,107,54,RouteScenario_8_54,Completed,route_54_route0_01_20_09_37_50,0,0,0,0.0,0,0,0,0,0,8,61.00178018503786,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,30.600000455975533,178.5960431098938,none
103,86,58,RouteScenario_8_58,Completed,route_58_route0_01_20_09_50_25,0,0,0,0.0,0,0,0,0,0,8,61.94757622419835,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,76.40000113844872,485.31824350357056,none
104,103,61,RouteScenario_8_61,Completed,route_61_route0_01_20_10_05_14,0,0,0,0.0,0,0,0,0,0,8,61.367142631099526,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,61.35000091418624,345.3328540325165,none
105,104,63,RouteScenario_8_63,Completed,route_63_route0_01_20_10_14_07,0,0,0,0.0,0,0,0,0,0,8,61.68555879782448,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.40000034868717,153.7160620689392,none
106,98,67,RouteScenario_8_67,Completed,route_67_route0_01_20_10_22_12,0,0,0,0.0,0,0,0,0,0,8,61.067938290835365,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,42.30000063031912,319.60713028907776,none
107,100,71,RouteScenario_8_71,Completed,route_71_route0_01_20_10_31_41,0,0,0,0.0,0,0,0,0,0,8,60.57136272504224,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.500000469386578,204.34080934524536,none
108,122,13,RouteScenario_9_13,Completed,route_13_route0_01_20_10_38_08,0,0,0,0.0,0,0,0,0,0,9,56.094386897300026,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,116.90000174194574,725.0728690624237,none
109,126,14,RouteScenario_9_14,Completed,route_14_route0_01_20_10_53_37,0,0,0,11.46,0,0,0,0,0,9,55.2446401601069,vehicle.bmw.isetta,10,100.0,88.53646641057284,0.8853646641057284,120,0,22.750000339001417,160.11654329299927,none
110,119,19,RouteScenario_9_19,Completed,route_19_route0_01_20_11_02_34,0,0,0,35.69,0,0,0,0,0,9,55.04141645760018,vehicle.bmw.isetta,10,100.0,64.30966444379312,0.6430966444379312,120,0,55.90000083297491,361.4481525421143,none
111,128,21,RouteScenario_9_21,Failed,route_21_route0_01_20_11_12_30,1,0,0,0.0,0,0,0,0,0,9,55.295861513545525,vehicle.bmw.isetta,10,58.973790408004014,38.33296376520261,0.65,120,0,21.250000316649675,153.0119411945343,collisions_layout
112,118,25,RouteScenario_9_25,Completed,route_25_route0_01_20_11_23_27,0,0,0,0.0,0,0,0,0,0,9,55.25090884695793,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,61.85000092163682,458.7426187992096,none
113,110,29,RouteScenario_9_29,Completed,route_29_route0_01_20_11_33_53,0,0,0,0.0,0,0,0,0,0,9,55.94493792555948,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.000000342726707,122.54390144348145,none
114,127,3,RouteScenario_9_3,Completed,route_3_route0_01_20_11_44_59,0,0,0,0.0,0,0,0,0,0,9,55.41616043336074,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,68.25000101700425,476.7722260951996,none
115,125,31,RouteScenario_9_31,Completed,route_31_route0_01_20_11_56_14,0,0,0,0.0,0,0,0,0,0,9,55.507802941520346,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.900000356137756,143.93314909934998,none
116,115,35,RouteScenario_9_35,Failed,route_35_route0_01_20_12_01_44,0,0,1,6.29,0,0,0,0,0,9,55.1791221263788,vehicle.bmw.isetta,10,43.31561277978616,24.35335516503684,0.5622304199838465,120,0,21.15000031515956,140.93255162239075,collisions_vehicle
117,114,36,RouteScenario_9_36,Completed,route_36_route0_01_20_12_06_54,0,0,0,2.19,0,0,0,0,0,9,55.24653262480497,vehicle.bmw.isetta,10,100.0,97.81098492863605,0.9781098492863604,120,0,123.20000183582306,715.5675346851349,none
118,108,38,RouteScenario_9_38,Completed,route_38_route0_01_20_12_24_48,0,0,0,0.0,0,0,0,0,0,9,55.19927747263407,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,46.8500006981194,305.4355173110962,none
119,121,46,RouteScenario_9_46,Failed,route_46_route0_01_20_12_32_57,1,0,0,0.0,0,0,0,0,0,9,55.9272196240984,vehicle.bmw.isetta,10,63.051670350357576,40.983585727732425,0.65,120,0,19.250000286847357,107.46303963661194,collisions_layout
120,112,47,RouteScenario_9_47,Failed,route_47_route0_01_20_12_38_18,1,0,0,18.97,0,0,0,0,0,9,55.61009969298386,vehicle.bmw.isetta,10,74.59555399076638,39.2896560119254,0.5267023825144963,120,0,138.650002066046,967.5147967338562,collisions_layout
121,109,48,RouteScenario_9_48,Failed,route_48_route0_01_20_12_57_28,1,0,0,0.0,0,0,0,0,0,9,55.27290728705631,vehicle.bmw.isetta,10,54.85885798980303,35.65825769337197,0.65,120,0,18.450000274926424,99.73714923858644,collisions_layout
122,117,5,RouteScenario_9_5,Completed,route_5_route0_01_20_13_06_02,0,0,0,0.0,0,0,0,0,0,9,55.43311785764707,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,61.45000091567636,381.8766927719116,none
123,111,50,RouteScenario_9_50,Completed,route_50_route0_01_20_13_15_51,0,0,0,0.0,0,0,0,0,0,9,55.2693469423156,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,22.350000333040956,156.7856366634369,none
124,120,55,RouteScenario_9_55,Completed,route_55_route0_01_20_13_23_44,0,0,0,0.0,0,0,0,0,0,9,55.34447144880457,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,36.500000543892384,254.21710729599,none
125,131,59,RouteScenario_9_59,Completed,route_59_route0_01_20_13_31_08,0,0,0,0.0,0,0,0,0,0,9,56.290417613840575,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,26.30000039190054,154.10082149505615,none
126,124,60,RouteScenario_9_60,Failed,route_60_route0_01_20_13_37_49,1,0,0,0.0,0,0,0,0,0,9,55.71251834771494,vehicle.bmw.isetta,10,47.84394417721392,31.098563715189048,0.65,120,0,17.200000256299973,122.10733819007874,collisions_layout
127,113,62,RouteScenario_9_62,Completed,route_62_route0_01_20_13_45_28,0,0,0,0.0,0,0,0,0,0,9,56.02666298657788,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,52.35000078007579,320.6279637813568,none
128,129,66,RouteScenario_9_66,Failed,route_66_route0_01_20_13_57_38,0,0,1,0.0,0,0,0,0,0,9,55.41121556217197,vehicle.bmw.isetta,10,37.88495156015697,22.73097093609418,0.6,120,0,16.800000250339508,111.755784034729,collisions_vehicle
129,116,70,RouteScenario_9_70,Completed,route_70_route0_01_20_14_05_20,0,0,0,0.0,0,0,0,0,0,9,54.91447760482357,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.20000046491623,192.8005518913269,none
